iteration,statistic,estimate
0,NLL,692.169264724578
0,MSE,231.9610370503443
0,pinball,7.172521799115925
0,SKCE (unbiased),0.9734106106705532
0,SKCE (biased),0.9912512156018837
0,p-value,0.0
1,NLL,4.136272540263695
1,MSE,229.02922237159203
1,pinball,4.7013781131283725
1,SKCE (unbiased),0.10464625874979293
1,SKCE (biased),0.121801743157348
1,p-value,0.0
2,NLL,4.1296003762487405
2,MSE,225.98915576861876
2,pinball,4.669292086814627
2,SKCE (unbiased),0.10276532123239707
2,SKCE (biased),0.11995264825358487
2,p-value,0.0
3,NLL,4.122798642079062
3,MSE,222.93214069754245
3,pinball,4.636810897225584
3,SKCE (unbiased),0.10083970944365783
3,SKCE (biased),0.11805961291974586
3,p-value,0.0
4,NLL,4.115835348896296
4,MSE,219.84367475477794
4,pinball,4.603776376196774
4,SKCE (unbiased),0.09895015970307613
4,SKCE (biased),0.1162017114418986
4,p-value,0.0
5,NLL,4.108739218868792
5,MSE,216.74022662573282
5,pinball,4.57033443508292
5,SKCE (unbiased),0.09711841640638957
5,SKCE (biased),0.1144002669348257
5,p-value,0.0
6,NLL,4.101594287003578
6,MSE,213.6612831204772
6,pinball,4.536908210538716
6,SKCE (unbiased),0.09532595086676354
6,SKCE (biased),0.11263724616201873
6,p-value,0.0
7,NLL,4.094322915317268
7,MSE,210.57277930664293
7,pinball,4.503162573005791
7,SKCE (unbiased),0.09357212029055108
7,SKCE (biased),0.11091192689923991
7,p-value,0.0
8,NLL,4.086904132716176
8,MSE,207.4680081711033
8,pinball,4.468998625662973
8,SKCE (unbiased),0.09177841296376552
8,SKCE (biased),0.10914733116091231
8,p-value,0.0
9,NLL,4.079244853358465
9,MSE,204.31115028027
9,pinball,4.433998880734435
9,SKCE (unbiased),0.09003559841817328
9,SKCE (biased),0.1074323460993347
9,p-value,0.0
10,NLL,4.071197965123323
10,MSE,201.0453774159227
10,pinball,4.39752768594242
10,SKCE (unbiased),0.08831050554298146
10,SKCE (biased),0.10573428748482867
10,p-value,0.0
11,NLL,4.062710466591495
11,MSE,197.6561943132043
11,pinball,4.359345174159996
11,SKCE (unbiased),0.08653877206686542
11,SKCE (biased),0.10398999764288791
11,p-value,0.0
12,NLL,4.053768255075649
12,MSE,194.14709354965476
12,pinball,4.31943383847612
12,SKCE (unbiased),0.08470155123697037
12,SKCE (biased),0.10218099711172533
12,p-value,0.0
13,NLL,4.044315598064182
13,MSE,190.50557102886967
13,pinball,4.277604673920023
13,SKCE (unbiased),0.08285456552838615
13,SKCE (biased),0.10036184201112472
13,p-value,0.0
14,NLL,4.0343068987465625
14,MSE,186.72435746435787
14,pinball,4.233723847496062
14,SKCE (unbiased),0.08095027306285585
14,SKCE (biased),0.09848587349474516
14,p-value,0.0
15,NLL,4.02370610158401
15,MSE,182.80161420448454
15,pinball,4.1877867162715985
15,SKCE (unbiased),0.07904897164860404
15,SKCE (biased),0.09661211773371724
15,p-value,0.0
16,NLL,4.012417734089508
16,MSE,178.71491197096748
16,pinball,4.139367018731895
16,SKCE (unbiased),0.07713389599182902
16,SKCE (biased),0.09472401173599654
16,p-value,0.0
17,NLL,4.000356598386785
17,MSE,174.44919941793444
17,pinball,4.088253573344903
17,SKCE (unbiased),0.07516451686934815
17,SKCE (biased),0.0927817168350584
17,p-value,0.0
18,NLL,3.987428778556941
18,MSE,169.98972579499562
18,pinball,4.034066988866208
18,SKCE (unbiased),0.07305699571741647
18,SKCE (biased),0.09070291635528005
18,p-value,0.0
19,NLL,3.973535248040631
19,MSE,165.3231373972963
19,pinball,3.976643402891068
19,SKCE (unbiased),0.07081109867386412
19,SKCE (biased),0.08848722177905813
19,p-value,0.0
20,NLL,3.9585846870253607
20,MSE,160.44320788048816
20,pinball,3.915732456884731
20,SKCE (unbiased),0.06850282644563048
20,SKCE (biased),0.08620893081486
20,p-value,0.0
21,NLL,3.942565036911355
21,MSE,155.37474525161252
21,pinball,3.8515276787651005
21,SKCE (unbiased),0.06617805254295307
21,SKCE (biased),0.08391298903101614
21,p-value,0.0
22,NLL,3.9254095065647503
22,MSE,150.12452368760032
22,pinball,3.7840417990917814
22,SKCE (unbiased),0.06382087087563121
22,SKCE (biased),0.08158363172086106
22,p-value,0.0
23,NLL,3.9070011662940916
23,MSE,144.687697936926
23,pinball,3.7128288981489135
23,SKCE (unbiased),0.06142817188958064
23,SKCE (biased),0.07921755735511245
23,p-value,0.0
24,NLL,3.8872528302313465
24,MSE,139.07343052503398
24,pinball,3.637752146434468
24,SKCE (unbiased),0.05900642570965279
24,SKCE (biased),0.07682086299251403
24,p-value,0.0
25,NLL,3.866034486295969
25,MSE,133.2829329548845
25,pinball,3.5585263598919905
25,SKCE (unbiased),0.05656439801605628
25,SKCE (biased),0.0744018151609868
25,p-value,0.0
26,NLL,3.8432630891779445
26,MSE,127.3361249687343
26,pinball,3.4752248619848634
26,SKCE (unbiased),0.05411802295344381
26,SKCE (biased),0.07197575411437823
26,p-value,0.0
27,NLL,3.81882486221446
27,MSE,121.24856774047107
27,pinball,3.3878949995642507
27,SKCE (unbiased),0.051662210541096765
27,SKCE (biased),0.06953734413304313
27,p-value,0.0
28,NLL,3.7925629691228697
28,MSE,115.03009441082621
28,pinball,3.2964538197743876
28,SKCE (unbiased),0.04918098390227789
28,SKCE (biased),0.06707045334748785
28,p-value,0.0
29,NLL,3.76432182539793
29,MSE,108.6975187596053
29,pinball,3.200607225313744
29,SKCE (unbiased),0.046693138941971926
29,SKCE (biased),0.06459295668143482
29,p-value,0.0
30,NLL,3.733959803465027
30,MSE,102.27707836466529
30,pinball,3.100540021475482
30,SKCE (unbiased),0.044200319932164334
30,SKCE (biased),0.06210584196037307
30,p-value,0.0
31,NLL,3.7012867103113734
31,MSE,95.78995080196039
31,pinball,2.9959218803321837
31,SKCE (unbiased),0.04171439250348201
31,SKCE (biased),0.059619984369197375
31,p-value,0.0
32,NLL,3.6661399790603673
32,MSE,89.26937762465644
32,pinball,2.8869915805154576
32,SKCE (unbiased),0.039204059301422206
32,SKCE (biased),0.0571038353752221
32,p-value,0.0
33,NLL,3.6283296633787576
33,MSE,82.74800470330236
33,pinball,2.7740287075906487
33,SKCE (unbiased),0.036671830042142486
33,SKCE (biased),0.05455880711968134
33,p-value,0.0
34,NLL,3.587671634498761
34,MSE,76.26448410545353
34,pinball,2.656992468365682
34,SKCE (unbiased),0.03411283109015537
34,SKCE (biased),0.051978859983426315
34,p-value,0.0
35,NLL,3.5439558769814936
35,MSE,69.85735907733284
35,pinball,2.5366383795301513
35,SKCE (unbiased),0.031507861143925855
35,SKCE (biased),0.049343687602835855
35,p-value,0.001
36,NLL,3.49701548886139
36,MSE,63.57396245177171
36,pinball,2.4128698439829996
36,SKCE (unbiased),0.02887506337636083
36,SKCE (biased),0.04666946868507689
36,p-value,0.0
37,NLL,3.4466753338397784
37,MSE,57.46009012675911
37,pinball,2.286398558368548
37,SKCE (unbiased),0.026191983542778016
37,SKCE (biased),0.043932152831928604
37,p-value,0.0
38,NLL,3.3928097525828593
38,MSE,51.56594340731274
38,pinball,2.157384724098339
38,SKCE (unbiased),0.023446194955891012
38,SKCE (biased),0.041117357722660224
38,p-value,0.0
39,NLL,3.335375426984626
39,MSE,45.944039412693364
39,pinball,2.02648631778953
39,SKCE (unbiased),0.02063136792765805
39,SKCE (biased),0.038216560955073406
39,p-value,0.001
40,NLL,3.2744934000894728
40,MSE,40.65098283394088
40,pinball,1.8972606420622922
40,SKCE (unbiased),0.01774579665478629
40,SKCE (biased),0.035225974743790835
40,p-value,0.002
41,NLL,3.2104906956130157
41,MSE,35.74203389847299
41,pinball,1.7690251954408995
41,SKCE (unbiased),0.014774026552793336
41,SKCE (biased),0.03212901084965473
41,p-value,0.008
42,NLL,3.143961460488065
42,MSE,31.2664247347572
42,pinball,1.6450883680043051
42,SKCE (unbiased),0.011766894061198059
42,SKCE (biased),0.02897545888810875
42,p-value,0.015
43,NLL,3.0759364068928914
43,MSE,27.269973494105276
43,pinball,1.52664608860697
43,SKCE (unbiased),0.008783938637956897
43,SKCE (biased),0.02582613665525061
43,p-value,0.04
44,NLL,3.008105655396852
44,MSE,23.796006942791152
44,pinball,1.4173356635347196
44,SKCE (unbiased),0.005924427125043734
44,SKCE (biased),0.022785166050957106
44,p-value,0.111
45,NLL,2.942893177938105
45,MSE,20.8789310836566
45,pinball,1.3208768027852273
45,SKCE (unbiased),0.0033245427862558883
45,SKCE (biased),0.01999865509266685
45,p-value,0.197
46,NLL,2.8835139794669775
46,MSE,18.54250885774656
46,pinball,1.2407059044844742
46,SKCE (unbiased),0.0011664595165779624
46,SKCE (biased),0.01766433416216408
46,p-value,0.353
47,NLL,2.8336779872177624
47,MSE,16.794717758082744
