iteration,statistic,estimate
0,NLL,14.172983389806426
0,MSE,234.201847007603
0,pinball,6.577981024624502
0,SKCE (unbiased),0.3361247795648462
0,SKCE (biased),0.3537043294639929
0,p-value,0.0
1,NLL,4.1402780872943
1,MSE,230.8914111282811
1,pinball,4.721348320856489
1,SKCE (unbiased),0.10336933329660197
1,SKCE (biased),0.12055454326436127
1,p-value,0.0
2,NLL,4.133017357004885
2,MSE,227.56068812151338
2,pinball,4.6863873590627065
2,SKCE (unbiased),0.10337680758092706
2,SKCE (biased),0.12055566476984092
2,p-value,0.0
3,NLL,4.125675955742195
3,MSE,224.2422976874641
3,pinball,4.651316341256556
3,SKCE (unbiased),0.10243149080532213
3,SKCE (biased),0.11962293930650589
3,p-value,0.0
4,NLL,4.118191499815205
4,MSE,220.90821683182855
4,pinball,4.615824790511545
4,SKCE (unbiased),0.10112687928961034
4,SKCE (biased),0.11833789367650838
4,p-value,0.0
5,NLL,4.110478104710711
5,MSE,217.52272073620247
5,pinball,4.579530249398632
5,SKCE (unbiased),0.09968198198655566
5,SKCE (biased),0.11691510918460558
5,p-value,0.0
6,NLL,4.1026629041694225
6,MSE,214.14702068176953
6,pinball,4.543106084726636
6,SKCE (unbiased),0.09812709047640493
6,SKCE (biased),0.11538444164399966
6,p-value,0.0
7,NLL,4.094640010679392
7,MSE,210.73534071554826
7,pinball,4.505999456766378
7,SKCE (unbiased),0.09629430318319394
7,SKCE (biased),0.11358116229193574
7,p-value,0.0
8,NLL,4.086412178253881
8,MSE,207.29347942093503
8,pinball,4.4682154954997735
8,SKCE (unbiased),0.09421383985198506
8,SKCE (biased),0.11153491189074344
8,p-value,0.0
9,NLL,4.077881472192284
9,MSE,203.78302443210356
9,pinball,4.429301295076861
9,SKCE (unbiased),0.09218712817348154
9,SKCE (biased),0.10954094766494048
9,p-value,0.0
10,NLL,4.069037629462558
10,MSE,200.20576577421764
10,pinball,4.389255736825846
10,SKCE (unbiased),0.09023371377839222
10,SKCE (biased),0.10761841138344691
10,p-value,0.0
11,NLL,4.059970171492953
11,MSE,196.60430679796843
11,pinball,4.348555716177904
11,SKCE (unbiased),0.08841948241433739
11,SKCE (biased),0.1058319929229411
11,p-value,0.0
12,NLL,4.050527603044779
12,MSE,192.92363679060168
12,pinball,4.306560839129415
12,SKCE (unbiased),0.08655906769286752
12,SKCE (biased),0.10399988482207426
12,p-value,0.0
13,NLL,4.040615421475341
13,MSE,189.1338706361327
13,pinball,4.262954332412574
13,SKCE (unbiased),0.08469906220749697
13,SKCE (biased),0.10216762247909797
13,p-value,0.0
14,NLL,4.030224832468168
14,MSE,185.24181709824828
14,pinball,4.217708257979305
14,SKCE (unbiased),0.08277595705212731
14,SKCE (biased),0.10027297150167534
14,p-value,0.0
15,NLL,4.019236366242166
15,MSE,181.21242870236864
15,pinball,4.170336723903336
15,SKCE (unbiased),0.0808092079107104
15,SKCE (biased),0.09833480161773454
15,p-value,0.0
16,NLL,4.007622075158805
16,MSE,177.0488574436873
16,pinball,4.120814508005666
16,SKCE (unbiased),0.07879696573898361
16,SKCE (biased),0.09635126873682272
16,p-value,0.0
17,NLL,3.9953070417804093
17,MSE,172.73837279054223
17,pinball,4.068990844248168
17,SKCE (unbiased),0.07674545600253233
17,SKCE (biased),0.0943283744621042
17,p-value,0.0
18,NLL,3.9822230706436166
18,MSE,168.27340949563757
18,pinball,4.014576044129347
18,SKCE (unbiased),0.07460516296575248
18,SKCE (biased),0.09221746072994329
18,p-value,0.0
19,NLL,3.9682869614357346
19,MSE,163.6440032766408
19,pinball,3.9574056227920313
19,SKCE (unbiased),0.07243223879723194
19,SKCE (biased),0.09007341326299659
19,p-value,0.0
20,NLL,3.953453347030666
20,MSE,158.85640011083265
20,pinball,3.8975265767249594
20,SKCE (unbiased),0.07026493928749475
20,SKCE (biased),0.08793364625662392
20,p-value,0.0
21,NLL,3.9376383069440317
21,MSE,153.90624569526207
21,pinball,3.834684450890961
21,SKCE (unbiased),0.06807295621872235
21,SKCE (biased),0.08576828932538151
21,p-value,0.0
22,NLL,3.920744622595146
22,MSE,148.7883614621927
22,pinball,3.7685381660744977
22,SKCE (unbiased),0.0658294810646732
22,SKCE (biased),0.0835508598863369
22,p-value,0.0
23,NLL,3.9026569725156537
23,MSE,143.49644149586015
23,pinball,3.6988784165774207
23,SKCE (unbiased),0.06355847884698629
23,SKCE (biased),0.08130460012848596
23,p-value,0.0
24,NLL,3.883288385207484
24,MSE,138.03781895349013
24,pinball,3.625560338887247
24,SKCE (unbiased),0.061248301545689283
24,SKCE (biased),0.07901789774408859
24,p-value,0.0
25,NLL,3.8625572221734465
25,MSE,132.42486040466997
25,pinball,3.548673041399046
25,SKCE (unbiased),0.05893280045881183
25,SKCE (biased),0.0767237102785678
25,p-value,0.0
