iteration,statistic,estimate
0,NLL,1675.341005979406
0,MSE,228.73232467715218
0,pinball,7.145574924876078
0,SKCE (unbiased),0.9514023797278399
0,SKCE (biased),0.9610890410324646
0,p-value,0.0
1,NLL,4.127493016039447
1,MSE,225.22704125316505
1,pinball,4.68139040041296
1,SKCE (unbiased),0.09831391734778562
1,SKCE (biased),0.10696266912595055
1,p-value,0.0
2,NLL,4.119554942926128
2,MSE,221.6795386596133
2,pinball,4.643852827889924
2,SKCE (unbiased),0.0969063419297986
2,SKCE (biased),0.10556595521455374
2,p-value,0.0
3,NLL,4.111298064119086
3,MSE,218.04883726020824
3,pinball,4.605131295641951
3,SKCE (unbiased),0.09556737773261831
3,SKCE (biased),0.10423701818072267
3,p-value,0.0
4,NLL,4.102661343614277
4,MSE,214.3147268461896
4,pinball,4.564954220087023
4,SKCE (unbiased),0.09423222809219249
4,SKCE (biased),0.10291167093585141
4,p-value,0.0
5,NLL,4.093593858114095
5,MSE,210.46316502780854
5,pinball,4.52319094318839
5,SKCE (unbiased),0.0928860423904388
5,SKCE (biased),0.10157518176994108
5,p-value,0.0
6,NLL,4.084091544669305
6,MSE,206.50115857731865
6,pinball,4.479843949391203
6,SKCE (unbiased),0.09159494500007649
6,SKCE (biased),0.10029300191064511
6,p-value,0.0
7,NLL,4.0741434199414694
7,MSE,202.43316313518596
7,pinball,4.434865908100899
7,SKCE (unbiased),0.0902566195555878
7,SKCE (biased),0.09896382045018623
7,p-value,0.0
8,NLL,4.0637462796917045
8,MSE,198.26717562899063
8,pinball,4.388275553051191
8,SKCE (unbiased),0.08887734435956823
8,SKCE (biased),0.0975938311164631
8,p-value,0.0
9,NLL,4.052757669633791
9,MSE,193.95734676581276
9,pinball,4.339573882227014
9,SKCE (unbiased),0.08745002741717987
9,SKCE (biased),0.0961759600324854
9,p-value,0.0
10,NLL,4.041102491891109
10,MSE,189.48842054894627
10,pinball,4.288567252766374
10,SKCE (unbiased),0.08590626100148661
10,SKCE (biased),0.0946424417983086
10,p-value,0.0
11,NLL,4.028740329425473
11,MSE,184.86088929057357
11,pinball,4.2350845167469195
11,SKCE (unbiased),0.08423292637885901
11,SKCE (biased),0.09298024442786446
11,p-value,0.0
12,NLL,4.015619119194064
12,MSE,180.07279251072464
12,pinball,4.179042151673048
12,SKCE (unbiased),0.08247441665468357
12,SKCE (biased),0.09123327925704701
12,p-value,0.0
13,NLL,4.001649325921957
13,MSE,175.11126737209972
13,pinball,4.120164310103348
13,SKCE (unbiased),0.08067543012344434
13,SKCE (biased),0.08944573891620515
13,p-value,0.0
14,NLL,3.98678442785962
14,MSE,169.981870850871
14,pinball,4.058342493344374
14,SKCE (unbiased),0.07883864476565781
14,SKCE (biased),0.08762022965865006
14,p-value,0.0
15,NLL,3.9709649725686353
15,MSE,164.6880171182846
15,pinball,3.993485440957311
15,SKCE (unbiased),0.07695985746258323
15,SKCE (biased),0.085752538897297
15,p-value,0.0
16,NLL,3.9540405388176088
16,MSE,159.20680400563484
16,pinball,3.9251559884659972
16,SKCE (unbiased),0.07503754323437133
16,SKCE (biased),0.08384105147631507
16,p-value,0.0
17,NLL,3.9359254773664882
17,MSE,153.54196055308933
17,pinball,3.8534114522503944
17,SKCE (unbiased),0.07307060284950999
17,SKCE (biased),0.08188460246140436
17,p-value,0.0
18,NLL,3.9165204206372395
18,MSE,147.69713248075223
18,pinball,3.777943565263393
18,SKCE (unbiased),0.0710031405796401
18,SKCE (biased),0.07982775158053461
18,p-value,0.0
19,NLL,3.895671597305343
19,MSE,141.66514346706848
19,pinball,3.6984306262070983
19,SKCE (unbiased),0.06886684750472913
19,SKCE (biased),0.07770173298748008
19,p-value,0.0
20,NLL,3.8732596283738796
20,MSE,135.45536688012217
20,pinball,3.614746442450193
20,SKCE (unbiased),0.06666950237537725
20,SKCE (biased),0.0755141164584339
20,p-value,0.0
21,NLL,3.849185279154857
21,MSE,129.087890219561
21,pinball,3.5269815927140797
21,SKCE (unbiased),0.06439987286135528
21,SKCE (biased),0.07325363898923479
21,p-value,0.0
22,NLL,3.8232873875810753
22,MSE,122.57188923496504
22,pinball,3.4348163379562044
22,SKCE (unbiased),0.06204404906888918
22,SKCE (biased),0.07090634620192429
22,p-value,0.0
23,NLL,3.7954664907588223
23,MSE,115.93804053742515
23,pinball,3.3384233495984774
23,SKCE (unbiased),0.05963885607427366
23,SKCE (biased),0.06850851636164043
23,p-value,0.0
24,NLL,3.7655790109238354
24,MSE,109.21090876516611
24,pinball,3.237797692182554
24,SKCE (unbiased),0.057172596533461725
24,SKCE (biased),0.06604833402406211
24,p-value,0.0
25,NLL,3.7334524388814145
25,MSE,102.4144495311843
25,pinball,3.13293884531729
25,SKCE (unbiased),0.05463408078007317
25,SKCE (biased),0.06351443717536331
25,p-value,0.0
26,NLL,3.698891549826647
26,MSE,95.57449858251063
26,pinball,3.0238821085717067
26,SKCE (unbiased),0.05202012587872043
26,SKCE (biased),0.06090333777714704
26,p-value,0.0
27,NLL,3.661726252393335
27,MSE,88.72799361822865
27,pinball,2.9104784865430298
27,SKCE (unbiased),0.049346895576273204
27,SKCE (biased),0.05823066523435189
27,p-value,0.0
