iteration,statistic,estimate
0,NLL,720.695207303587
0,MSE,241.5210590851914
0,pinball,7.322005114242487
0,SKCE (unbiased),0.9446485063586202
0,SKCE (biased),0.9536970657485644
0,p-value,0.0
1,NLL,4.15622947888113
1,MSE,238.55070596371982
1,pinball,4.819850900273303
1,SKCE (unbiased),0.10396029259958574
1,SKCE (biased),0.11256395164135997
1,p-value,0.0
2,NLL,4.149775696861135
2,MSE,235.49138412080637
2,pinball,4.7883846356702415
2,SKCE (unbiased),0.10282440370533871
2,SKCE (biased),0.1114368706922422
2,p-value,0.0
3,NLL,4.143164748426213
3,MSE,232.39823503684346
3,pinball,4.756351372775537
3,SKCE (unbiased),0.10151091041273938
3,SKCE (biased),0.11013387825406361
3,p-value,0.0
4,NLL,4.136483352496491
4,MSE,229.3134026831262
4,pinball,4.724163604140642
4,SKCE (unbiased),0.09994971263231388
4,SKCE (biased),0.10858560221889182
4,p-value,0.0
5,NLL,4.129674635103036
5,MSE,226.21190750734993
5,pinball,4.691575920374455
5,SKCE (unbiased),0.09837180362312857
5,SKCE (biased),0.10702071095968325
5,p-value,0.0
6,NLL,4.122731074269262
6,MSE,223.09218732889113
6,pinball,4.658576325565023
6,SKCE (unbiased),0.09687114108852919
6,SKCE (biased),0.10553222014793218
6,p-value,0.0
7,NLL,4.115661353874571
7,MSE,219.95998453685272
7,pinball,4.625260320404377
7,SKCE (unbiased),0.09544261100962569
7,SKCE (biased),0.10411506793508579
7,p-value,0.0
8,NLL,4.108428168290589
8,MSE,216.80086733319004
8,pinball,4.59138256290422
8,SKCE (unbiased),0.09405245312331326
8,SKCE (biased),0.10273579892475772
8,p-value,0.0
9,NLL,4.100929575887691
9,MSE,213.57372417688916
9,pinball,4.556512150609288
9,SKCE (unbiased),0.0926505697395757
9,SKCE (biased),0.10134477949072779
9,p-value,0.0
10,NLL,4.093098403698913
10,MSE,210.25471851191887
10,pinball,4.520354502739054
10,SKCE (unbiased),0.09121906207865144
10,SKCE (biased),0.09992426186824127
10,p-value,0.0
11,NLL,4.084898347916863
11,MSE,206.83463916891478
11,pinball,4.4827637483263665
11,SKCE (unbiased),0.08979613457970939
11,SKCE (biased),0.09851204619956852
11,p-value,0.0
12,NLL,4.076262092350378
12,MSE,203.29276217253317
12,pinball,4.443491306121167
12,SKCE (unbiased),0.08833093357679188
12,SKCE (biased),0.09705775640712244
12,p-value,0.0
13,NLL,4.067118560849629
13,MSE,199.60892060528045
13,pinball,4.402306102366129
13,SKCE (unbiased),0.08679899889214537
13,SKCE (biased),0.09553713696131409
13,p-value,0.0
14,NLL,4.05742704741977
14,MSE,195.77715114703045
14,pinball,4.359110867411767
14,SKCE (unbiased),0.08521285992801679
14,SKCE (biased),0.09396256478288181
14,p-value,0.0
15,NLL,4.047137787028763
15,MSE,191.78951749560076
15,pinball,4.313714727268151
15,SKCE (unbiased),0.08358041499959741
15,SKCE (biased),0.09234182005164879
15,p-value,0.0
16,NLL,4.036181407344863
16,MSE,187.6325911471189
16,pinball,4.26590956559698
16,SKCE (unbiased),0.08187113249083355
16,SKCE (biased),0.09064463752162018
16,p-value,0.0
17,NLL,4.024478325713871
17,MSE,183.29183053271998
17,pinball,4.215363076919024
17,SKCE (unbiased),0.08003381506625538
17,SKCE (biased),0.0888202807724938
17,p-value,0.0
18,NLL,4.011941153252943
18,MSE,178.7530492368909
18,pinball,4.161791952551557
18,SKCE (unbiased),0.0780928171316488
18,SKCE (biased),0.08689280828579213
18,p-value,0.0
19,NLL,3.998517838582627
19,MSE,174.01797713680685
19,pinball,4.105110565958477
19,SKCE (unbiased),0.0760948125497362
19,SKCE (biased),0.08490838523814997
19,p-value,0.0
20,NLL,3.9841385182375895
20,MSE,169.08473335386716
20,pinball,4.045340956960015
20,SKCE (unbiased),0.0740204136919939
20,SKCE (biased),0.0828477589613231
20,p-value,0.0
21,NLL,3.968677087617726
21,MSE,163.93616411138134
21,pinball,3.9820636734940407
21,SKCE (unbiased),0.0718857080492415
21,SKCE (biased),0.08072677093668232
21,p-value,0.0
22,NLL,3.952093348815078
22,MSE,158.5879979265341
22,pinball,3.9152228597455037
22,SKCE (unbiased),0.06971172355559667
22,SKCE (biased),0.07856618008340276
22,p-value,0.0
23,NLL,3.9343054362194225
23,MSE,153.045277047532
23,pinball,3.8446797355261175
23,SKCE (unbiased),0.06753642147955506
23,SKCE (biased),0.07640348341376553
23,p-value,0.0
24,NLL,3.9152309947251123
24,MSE,147.316734167478
24,pinball,3.7704625960575613
24,SKCE (unbiased),0.0653367351085275
24,SKCE (biased),0.07421575204228444
24,p-value,0.0
25,NLL,3.894771061624608
25,MSE,141.4102240671769
25,pinball,3.692370738762479
25,SKCE (unbiased),0.06309832675847607
25,SKCE (biased),0.07198868264100737
25,p-value,0.0
26,NLL,3.872816698439523
26,MSE,135.33542554005462
26,pinball,3.610361137733216
26,SKCE (unbiased),0.060840638727944506
26,SKCE (biased),0.06974140247178048
26,p-value,0.0
27,NLL,3.849248879051527
27,MSE,129.10431121687117
27,pinball,3.524398790632248
27,SKCE (unbiased),0.05854157845746749
27,SKCE (biased),0.06745189545702389
27,p-value,0.0
28,NLL,3.823936952044132
28,MSE,122.73122940109747
28,pinball,3.434118289299773
28,SKCE (unbiased),0.056220141904536024
28,SKCE (biased),0.06513879924220461
28,p-value,0.0
29,NLL,3.7967416500172955
29,MSE,116.23409682747996
29,pinball,3.3396986601169067
29,SKCE (unbiased),0.053876553638078827
29,SKCE (biased),0.0628021374668435
29,p-value,0.0
30,NLL,3.767507652300603
30,MSE,109.63297962003885
30,pinball,3.241023262771886
30,SKCE (unbiased),0.05149192230396383
30,SKCE (biased),0.060422975119558194
30,p-value,0.0
31,NLL,3.7360726352471367
31,MSE,102.95255016600024
31,pinball,3.13849695218962
31,SKCE (unbiased),0.04908309022848508
31,SKCE (biased),0.05801771482394408
31,p-value,0.0
32,NLL,3.7022739621610254
32,MSE,96.22323512872009
32,pinball,3.0315406813447483
32,SKCE (unbiased),0.046655396483703905
32,SKCE (biased),0.055591335499139256
32,p-value,0.0
33,NLL,3.6659577997616286
33,MSE,89.48209354259325
33,pinball,2.920255383277579
33,SKCE (unbiased),0.04419929880008266
33,SKCE (biased),0.05313404455246601
33,p-value,0.0
34,NLL,3.626958873194348
34,MSE,82.76793103095997
34,pinball,2.805340991495573
34,SKCE (unbiased),0.04172560933326879
34,SKCE (biased),0.05065614693446234
34,p-value,0.0
35,NLL,3.5850752716352288
35,MSE,76.11714056276094
35,pinball,2.686939505678236
35,SKCE (unbiased),0.039223991147416
35,SKCE (biased),0.04814691624297909
35,p-value,0.0
36,NLL,3.5401492402203196
36,MSE,69.57612062706522
36,pinball,2.5649180424385567
36,SKCE (unbiased),0.03667852592264094
36,SKCE (biased),0.04559006720566689
36,p-value,0.0
37,NLL,3.4920392314415727
37,MSE,63.19349675889924
37,pinball,2.440727132118912
37,SKCE (unbiased),0.034069554297160264
37,SKCE (biased),0.04296556546089396
37,p-value,0.0
38,NLL,3.440597722579139
38,MSE,57.01522735572569
38,pinball,2.3150265026204493
38,SKCE (unbiased),0.03139995662527389
38,SKCE (biased),0.04027561381664682
38,p-value,0.0
39,NLL,3.385774830696722
39,MSE,51.094282116201796
39,pinball,2.1875784658235364
39,SKCE (unbiased),0.02867970707973137
39,SKCE (biased),0.03752944073160698
39,p-value,0.0
40,NLL,3.3276500814207854
40,MSE,45.4868419595657
40,pinball,2.06044979684058
40,SKCE (unbiased),0.02588703887972315
40,SKCE (biased),0.034704928002003595
40,p-value,0.0
41,NLL,3.266464415489555
41,MSE,40.2476559366429
41,pinball,1.9343334502187364
41,SKCE (unbiased),0.023045651403106875
41,SKCE (biased),0.031825164658571096
41,p-value,0.0
42,NLL,3.202728487209421
42,MSE,35.43074365275511
42,pinball,1.8119642113745706
42,SKCE (unbiased),0.020172955101382815
42,SKCE (biased),0.028907395212020643
42,p-value,0.0
43,NLL,3.1372980338002856
43,MSE,31.08480147534658
43,pinball,1.6941471797052658
43,SKCE (unbiased),0.01728020026659165
43,SKCE (biased),0.025963332027822625
43,p-value,0.0
44,NLL,3.0715944157684425
44,MSE,27.25703805822743
44,pinball,1.5832368569087987
44,SKCE (unbiased),0.014420016775617406
44,SKCE (biased),0.023046528781650092
44,p-value,0.0
45,NLL,3.0075799599875466
45,MSE,23.981503688256897
45,pinball,1.4830167627236943
45,SKCE (unbiased),0.011658810538002495
45,SKCE (biased),0.020225107908068217
45,p-value,0.0
46,NLL,2.9479184192764354
46,MSE,21.28408844391747
46,pinball,1.3949838764679077
46,SKCE (unbiased),0.00906962021055943
46,SKCE (biased),0.017574789305357573
46,p-value,0.001
47,NLL,2.8957672875981926
47,MSE,19.175961871533367
47,pinball,1.3213303455399106
47,SKCE (unbiased),0.006736360206774863
47,SKCE (biased),0.015182641074255897
47,p-value,0.004
48,NLL,2.8543887235700964
48,MSE,17.652905382357286
48,pinball,1.2640622330104339
48,SKCE (unbiased),0.004741777856973406
48,SKCE (biased),0.013134699318588409
48,p-value,0.024
49,NLL,2.8262233560602392
49,MSE,16.68599334614597
49,pinball,1.2239709434532515
49,SKCE (unbiased),0.0031367852492446536
49,SKCE (biased),0.011484794770833867
49,p-value,0.069
50,NLL,2.8122739638567946
50,MSE,16.226908151331987
50,pinball,1.2014726053455724
50,SKCE (unbiased),0.0019652306859956727
50,SKCE (biased),0.010279367568545753
50,p-value,0.136
51,NLL,2.8116090797218942
51,MSE,16.205344464286323
51,pinball,1.194269789240901
51,SKCE (unbiased),0.0012335788888859463
51,SKCE (biased),0.009527039759141202
51,p-value,0.235
52,NLL,2.821452618955343
52,MSE,16.52754150516195
52,pinball,1.1998618289523677
52,SKCE (unbiased),0.000923485558778712
52,SKCE (biased),0.009209879339865591
52,p-value,0.28
53,NLL,2.8380658845250624
53,MSE,17.085919489443057
53,pinball,1.2150810546599484
53,SKCE (unbiased),0.0009654390344343705
53,SKCE (biased),0.009256587776727974
53,p-value,0.271
54,NLL,2.857613580339562
54,MSE,17.76712952573996
54,pinball,1.235954663664003
54,SKCE (unbiased),0.0012437601993118947
54,SKCE (biased),0.009547798257217991
54,p-value,0.207
55,NLL,2.8768201280757277
55,MSE,18.46289772132846
55,pinball,1.2575638805335765
55,SKCE (unbiased),0.0016372264642947594
55,SKCE (biased),0.00995779890068784
55,p-value,0.149
56,NLL,2.893260867858054
56,MSE,19.080076382861638
56,pinball,1.2773503093418934
56,SKCE (unbiased),0.00204055635231186
56,SKCE (biased),0.01037719155517698
56,p-value,0.145
57,NLL,2.9053918985101865
57,MSE,19.548659779652688
57,pinball,1.2923754117889634
57,SKCE (unbiased),0.0023689540620224236
57,SKCE (biased),0.010718257289971316
57,p-value,0.097
58,NLL,2.9124470830347873
58,MSE,19.826453862968783
58,pinball,1.3012683126035447
58,SKCE (unbiased),0.002581222717639868
58,SKCE (biased),0.010937992871482205
58,p-value,0.102
59,NLL,2.9142821740451943
59,MSE,19.899354254494163
59,pinball,1.3036113037570525
59,SKCE (unbiased),0.0026618534944513007
59,SKCE (biased),0.011020183639130285
59,p-value,0.089
60,NLL,2.9111584521939005
60,MSE,19.775421693017844
60,pinball,1.2995990282157979
60,SKCE (unbiased),0.0026148248577050645
60,SKCE (biased),0.010968877180424061
60,p-value,0.081
61,NLL,2.9036438935073714
61,MSE,19.480436793073793
61,pinball,1.2900273502021105
61,SKCE (unbiased),0.0024497633480641866
61,SKCE (biased),0.010794414701712985
61,p-value,0.083
62,NLL,2.892537316381707
62,MSE,19.05248551621749
62,pinball,1.2760828087923664
62,SKCE (unbiased),0.002199810081143578
62,SKCE (biased),0.010530956236130828
62,p-value,0.13
63,NLL,2.878762355275971
63,MSE,18.53475547936496
63,pinball,1.259107102817628
63,SKCE (unbiased),0.00190182697548185
63,SKCE (biased),0.010216661444774292
63,p-value,0.124
64,NLL,2.8633224712544902
64,MSE,17.971153267221137
64,pinball,1.2405170321302754
64,SKCE (unbiased),0.0015831560097846256
64,SKCE (biased),0.009880442928459864
64,p-value,0.177
65,NLL,2.8472036748536214
65,MSE,17.40104537254815
65,pinball,1.221805750863246
65,SKCE (unbiased),0.001278653592658501
65,SKCE (biased),0.009558612724946838
65,p-value,0.222
66,NLL,2.8313656181728164
66,MSE,16.85848633268459
66,pinball,1.204226611257583
66,SKCE (unbiased),0.0010226168285608528
66,SKCE (biased),0.009286768894228376
66,p-value,0.268
67,NLL,2.8165881240288417
67,MSE,16.36752488377842
67,pinball,1.1882968038823445
67,SKCE (unbiased),0.0008428754026019985
67,SKCE (biased),0.00909369166372134
67,p-value,0.268
68,NLL,2.8034658505708716
68,MSE,15.94355440047533
68,pinball,1.1750403196485595
68,SKCE (unbiased),0.0007507081871537652
68,SKCE (biased),0.008991255844154285
68,p-value,0.304
69,NLL,2.7924227765753202
69,MSE,15.595282844113342
69,pinball,1.1646107419901819
69,SKCE (unbiased),0.0007451374854117941
69,SKCE (biased),0.008978745695240856
69,p-value,0.295
70,NLL,2.7836024668017934
70,MSE,15.32258474617007
70,pinball,1.156739494420176
70,SKCE (unbiased),0.0008237638808905236
70,SKCE (biased),0.00905351911290582
70,p-value,0.298
71,NLL,2.7769913546902774
71,MSE,15.121319613545664
71,pinball,1.1516064105501944
71,SKCE (unbiased),0.0009690768253396639
71,SKCE (biased),0.009197718298720273
71,p-value,0.273
72,NLL,2.772392471508922
72,MSE,14.982874915658199
72,pinball,1.1486553946575089
72,SKCE (unbiased),0.0011676666198115648
72,SKCE (biased),0.009397287510490992
72,p-value,0.262
73,NLL,2.7695042242106553
73,MSE,14.89657591249791
73,pinball,1.1476791569851843
73,SKCE (unbiased),0.0014053324350717378
73,SKCE (biased),0.009637341229344908
73,p-value,0.21
74,NLL,2.767937542381511
74,MSE,14.849972573634101
74,pinball,1.14780498638731
74,SKCE (unbiased),0.0016631405567483475
74,SKCE (biased),0.009898302485017246
74,p-value,0.164
75,NLL,2.7672920805618797
75,MSE,14.830814761293318
75,pinball,1.1486908436985603
75,SKCE (unbiased),0.0019241086747847904
75,SKCE (biased),0.010162634606722102
75,p-value,0.15
76,NLL,2.767176166478164
76,MSE,14.827376959190781
76,pinball,1.1497748776011174
76,SKCE (unbiased),0.002176170586324564
76,SKCE (biased),0.010417774986991634
76,p-value,0.114
