iteration,statistic,estimate
0,NLL,11284.948715549834
0,MSE,228.0823396832389
0,pinball,7.179773052892131
0,SKCE (unbiased),1.0672958354532485
0,SKCE (biased),1.0857508425273066
0,p-value,0.0
1,NLL,4.127256255682036
1,MSE,224.92317080584183
1,pinball,4.657804000849471
1,SKCE (unbiased),0.10218469856571542
1,SKCE (biased),0.11938127113199529
1,p-value,0.0
2,NLL,4.120182247194023
2,MSE,221.75837937660762
2,pinball,4.62407176704467
2,SKCE (unbiased),0.10053152627456582
2,SKCE (biased),0.11775491557878508
2,p-value,0.0
3,NLL,4.112894978459665
3,MSE,218.5438558072473
3,pinball,4.5895506364676555
3,SKCE (unbiased),0.09883444656698144
3,SKCE (biased),0.11608528530030326
3,p-value,0.0
4,NLL,4.1055073893888485
4,MSE,215.33289512375725
4,pinball,4.554839559908141
4,SKCE (unbiased),0.09711855344084988
4,SKCE (biased),0.11439712140485413
4,p-value,0.0
5,NLL,4.098113308448704
5,MSE,212.16666326231956
5,pinball,4.520369944531572
5,SKCE (unbiased),0.09548065862138685
5,SKCE (biased),0.11278533551915952
5,p-value,0.0
6,NLL,4.090654105462112
6,MSE,209.0194893250457
6,pinball,4.485869619774243
6,SKCE (unbiased),0.0938582051952741
6,SKCE (biased),0.11118855993543324
6,p-value,0.0
7,NLL,4.083084084083267
7,MSE,205.87365991133186
7,pinball,4.451069274193134
7,SKCE (unbiased),0.0922540882257038
7,SKCE (biased),0.10960956636570415
7,p-value,0.0
8,NLL,4.075318488526811
8,MSE,202.69620452988667
8,pinball,4.415645258471117
8,SKCE (unbiased),0.09066843915223644
8,SKCE (biased),0.10804840955332169
8,p-value,0.0
9,NLL,4.067229845234892
9,MSE,199.43817058767357
9,pinball,4.379058350182642
9,SKCE (unbiased),0.08902013248340929
9,SKCE (biased),0.10642546568121818
9,p-value,0.0
10,NLL,4.058784764827377
10,MSE,196.0928345984238
10,pinball,4.341137431278732
10,SKCE (unbiased),0.08721707402812882
10,SKCE (biased),0.10465044033687634
10,p-value,0.0
11,NLL,4.049853322805116
11,MSE,192.61506625224564
11,pinball,4.3013841668717125
11,SKCE (unbiased),0.08537168554007349
11,SKCE (biased),0.10283334280701231
11,p-value,0.0
12,NLL,4.040429722643809
12,MSE,189.01273305497307
12,pinball,4.259800574246069
12,SKCE (unbiased),0.08348496600909501
12,SKCE (biased),0.100975168515623
12,p-value,0.0
13,NLL,4.0303940825283515
13,MSE,185.25046042444635
13,pinball,4.215912734438279
13,SKCE (unbiased),0.08154420099281748
13,SKCE (biased),0.09906332200587839
13,p-value,0.0
14,NLL,4.0197066757958195
14,MSE,181.32613818460902
14,pinball,4.1696551156999195
14,SKCE (unbiased),0.07958699533747013
14,SKCE (biased),0.09713459501581928
14,p-value,0.0
