iteration,statistic,estimate
0,NLL,20.10292797236261
0,MSE,237.78434990214376
0,pinball,6.765751073632182
0,SKCE (unbiased),0.37696569178839406
0,SKCE (biased),0.38575314401534977
0,p-value,0.0
1,NLL,4.146521311291641
1,MSE,233.96360198209567
1,pinball,4.77277963995182
1,SKCE (unbiased),0.10210070055163233
1,SKCE (biased),0.11071924621846624
1,p-value,0.0
2,NLL,4.138195182353189
2,MSE,230.09983921899544
2,pinball,4.732598935705791
2,SKCE (unbiased),0.10017644886615211
2,SKCE (biased),0.10881091097063397
2,p-value,0.0
3,NLL,4.129664814559019
3,MSE,226.20746450299356
3,pinball,4.691759701108548
3,SKCE (unbiased),0.09823209601488983
3,SKCE (biased),0.10688255733657721
3,p-value,0.0
4,NLL,4.120925667861401
4,MSE,222.28809578546475
4,pinball,4.650277695203632
4,SKCE (unbiased),0.09638566708082118
4,SKCE (biased),0.10505102519086347
4,p-value,0.0
5,NLL,4.111969272063206
5,MSE,218.3417460424731
5,pinball,4.608159975750123
5,SKCE (unbiased),0.09460760887480443
5,SKCE (biased),0.10328705921494864
5,p-value,0.0
6,NLL,4.102770801484663
6,MSE,214.3616488491703
6,pinball,4.565315662249645
6,SKCE (unbiased),0.09275174437345025
6,SKCE (biased),0.10144592114429674
6,p-value,0.0
7,NLL,4.093277251600001
7,MSE,210.3299391943777
7,pinball,4.521508019546375
7,SKCE (unbiased),0.09090392013325732
7,SKCE (biased),0.09961256455775946
7,p-value,0.0
8,NLL,4.083439883636745
8,MSE,206.23219637113363
8,pinball,4.476509964016475
8,SKCE (unbiased),0.08908316710222071
8,SKCE (biased),0.0978058101506284
8,p-value,0.0
9,NLL,4.0731997936581426
9,MSE,202.05148090715247
9,pinball,4.430074539855564
9,SKCE (unbiased),0.08723310923358851
9,SKCE (biased),0.09596981236324711
9,p-value,0.0
10,NLL,4.0624930416150855
10,MSE,197.77084596039194
10,pinball,4.382034013796203
10,SKCE (unbiased),0.08529240241446073
10,SKCE (biased),0.09404380883984036
10,p-value,0.0
11,NLL,4.051279199372787
11,MSE,193.38467352523924
11,pinball,4.332269817585312
11,SKCE (unbiased),0.08339518660520294
11,SKCE (biased),0.0921605660015761
11,p-value,0.0
12,NLL,4.03945439543317
12,MSE,188.86485841461473
12,pinball,4.280483736669232
12,SKCE (unbiased),0.08155568642399283
12,SKCE (biased),0.09033411413089715
12,p-value,0.0
13,NLL,4.027033474608401
13,MSE,184.23090379738983
13,pinball,4.22679690822682
13,SKCE (unbiased),0.07969442113759105
13,SKCE (biased),0.08848575447066367
13,p-value,0.0
14,NLL,4.013911555603447
14,MSE,179.4588699309517
14,pinball,4.170750594183588
14,SKCE (unbiased),0.07786151645544875
14,SKCE (biased),0.0866650610000082
14,p-value,0.0
15,NLL,4.000037990374895
15,MSE,174.54784969503453
15,pinball,4.112240116049502
15,SKCE (unbiased),0.07601586995911787
15,SKCE (biased),0.08483130308158934
15,p-value,0.0
16,NLL,3.985330089807712
16,MSE,169.48816700541155
16,pinball,4.051039281752505
16,SKCE (unbiased),0.0741309355281281
16,SKCE (biased),0.08295813313549992
16,p-value,0.0
17,NLL,3.9696876857543915
17,MSE,164.26784635989293
17,pinball,3.986851262788536
17,SKCE (unbiased),0.07218568798410378
17,SKCE (biased),0.08102465611056943
17,p-value,0.0
18,NLL,3.9530389811555464
18,MSE,158.88821361000592
18,pinball,3.9197854743675804
18,SKCE (unbiased),0.07018341296679347
18,SKCE (biased),0.07903406274087768
18,p-value,0.0
19,NLL,3.9352620577006157
19,MSE,153.33837013650873
19,pinball,3.84948258657513
19,SKCE (unbiased),0.06812352721137012
19,SKCE (biased),0.07698567801680278
19,p-value,0.0
20,NLL,3.9162530397363526
20,MSE,147.6181708107939
20,pinball,3.775541927116759
20,SKCE (unbiased),0.06598060084439784
20,SKCE (biased),0.07485422588035988
20,p-value,0.0
21,NLL,3.895910236354143
21,MSE,141.73277327506807
21,pinball,3.6978583191691774
21,SKCE (unbiased),0.06376366407409763
21,SKCE (biased),0.07264853871667697
21,p-value,0.0
22,NLL,3.8741374612356627
22,MSE,135.6933901082989
22,pinball,3.6165519665482053
22,SKCE (unbiased),0.06149812180833019
22,SKCE (biased),0.07039364826590234
22,p-value,0.0
23,NLL,3.8508087789276533
23,MSE,129.5077197647611
23,pinball,3.5313006128530047
23,SKCE (unbiased),0.05920335737500823
23,SKCE (biased),0.06810859715498638
23,p-value,0.0
24,NLL,3.8257834585224493
24,MSE,123.18531537807593
24,pinball,3.442046633454984
24,SKCE (unbiased),0.0568741636465114
24,SKCE (biased),0.06578805649941379
24,p-value,0.0
25,NLL,3.7989256925308905
25,MSE,116.74292774478869
25,pinball,3.3486567734807404
25,SKCE (unbiased),0.05451529043506736
25,SKCE (biased),0.0634365362787157
25,p-value,0.0
26,NLL,3.77007961479671
26,MSE,110.19837637643248
26,pinball,3.250852752189262
26,SKCE (unbiased),0.05211890689263854
26,SKCE (biased),0.061046065333378
26,p-value,0.0
27,NLL,3.7390547341254283
27,MSE,103.56841427680114
27,pinball,3.148843590797699
27,SKCE (unbiased),0.04967297819427631
27,SKCE (biased),0.058604457310785334
27,p-value,0.0
28,NLL,3.7056833701843472
28,MSE,96.8816057716494
28,pinball,3.04250682279523
28,SKCE (unbiased),0.04719128795532584
28,SKCE (biased),0.05612504568120037
28,p-value,0.0
29,NLL,3.669775814992933
29,MSE,90.16799699170186
29,pinball,2.932242470544902
29,SKCE (unbiased),0.044672627293079865
29,SKCE (biased),0.05360626673108061
29,p-value,0.0
30,NLL,3.631161931020853
30,MSE,83.46662034889991
30,pinball,2.8183701934517886
30,SKCE (unbiased),0.04211138995031145
30,SKCE (biased),0.05104215360243492
30,p-value,0.0
31,NLL,3.589635017947907
31,MSE,76.8144650548166
31,pinball,2.7004619591189476
31,SKCE (unbiased),0.03947980533008166
31,SKCE (biased),0.04840470750100314
31,p-value,0.0
32,NLL,3.544984745009023
32,MSE,70.25225614271619
32,pinball,2.578928568387283
32,SKCE (unbiased),0.036778237828379405
32,SKCE (biased),0.04569372142955226
32,p-value,0.0
33,NLL,3.497060366783334
33,MSE,63.83130009561769
33,pinball,2.4542317003182497
33,SKCE (unbiased),0.0340296923662111
33,SKCE (biased),0.042931376194859906
33,p-value,0.0
34,NLL,3.4457130046861466
34,MSE,57.60151923507446
34,pinball,2.327706499376125
34,SKCE (unbiased),0.03120796072782105
34,SKCE (biased),0.04009103953984582
34,p-value,0.0
35,NLL,3.3908264099372274
35,MSE,51.613112244159126
35,pinball,2.1992179591664125
35,SKCE (unbiased),0.028310684937359845
35,SKCE (biased),0.03716964848950831
35,p-value,0.0
36,NLL,3.3324500217690445
36,MSE,45.925612920405456
36,pinball,2.0705857132057766
36,SKCE (unbiased),0.025350150659764807
36,SKCE (biased),0.03417873875951793
36,p-value,0.0
37,NLL,3.270735952415569
37,MSE,40.59296754477995
37,pinball,1.9428932704020503
37,SKCE (unbiased),0.02231047122608089
37,SKCE (biased),0.031102014007277037
37,p-value,0.0
38,NLL,3.206077816938263
38,MSE,35.668878841618
38,pinball,1.817264047366412
38,SKCE (unbiased),0.019221357467626606
38,SKCE (biased),0.02796865417722825
38,p-value,0.0
39,NLL,3.1392570703905824
39,MSE,31.206832910265646
39,pinball,1.6964497627751038
39,SKCE (unbiased),0.016097528300616802
39,SKCE (biased),0.024793549709587397
39,p-value,0.0
40,NLL,3.0715577739090123
40,MSE,27.255040634303565
40,pinball,1.5821813156007765
40,SKCE (unbiased),0.013010301607208924
40,SKCE (biased),0.021648426977521007
40,p-value,0.0
41,NLL,3.0048497299815553
41,MSE,23.85091052021307
41,pinball,1.477609868580896
41,SKCE (unbiased),0.010037173411303816
41,SKCE (biased),0.01861212805203389
41,p-value,0.0
42,NLL,2.941840258194105
42,MSE,21.026918495144276
42,pinball,1.3851334161129925
42,SKCE (unbiased),0.007261131711214102
42,SKCE (biased),0.015770131918207322
42,p-value,0.003
43,NLL,2.8858734211733554
43,MSE,18.80024263627321
43,pinball,1.3069850252228183
43,SKCE (unbiased),0.004792994656152458
43,SKCE (biased),0.013236659094661526
43,p-value,0.018
44,NLL,2.8404119689994616
44,MSE,17.166277890496332
44,pinball,1.2461551660992445
44,SKCE (unbiased),0.002716354797070787
44,SKCE (biased),0.011099359376404584
44,p-value,0.092
45,NLL,2.8084732629238203
45,MSE,16.10402852183264
45,pinball,1.202751581612778
45,SKCE (unbiased),0.001090168436703605
45,SKCE (biased),0.009421462849822983
45,p-value,0.231
46,NLL,2.7915402806320015
46,MSE,15.567781573322907
46,pinball,1.176939224244596
46,SKCE (unbiased),-3.433397194402865e-5
46,SKCE (biased),0.008257894703182007
46,p-value,0.482
47,NLL,2.788975491677842
