iteration,statistic,estimate
0,NLL,12.534836039924663
0,MSE,250.7000793863205
0,pinball,6.7600483015775
0,SKCE (unbiased),0.29968523235506034
0,SKCE (biased),0.30853088859410693
0,p-value,0.0
1,NLL,4.174902527515772
1,MSE,247.62809127160756
1,pinball,4.9121848068254
1,SKCE (unbiased),0.10144724390474155
1,SKCE (biased),0.1100833220396275
1,p-value,0.0
2,NLL,4.16901854461535
2,MSE,244.7310916907012
2,pinball,4.882991579072933
2,SKCE (unbiased),0.10135437973068162
2,SKCE (biased),0.10998911480157784
2,p-value,0.0
3,NLL,4.163421716868083
3,MSE,242.00693126243135
3,pinball,4.855360031094739
3,SKCE (unbiased),0.10120372559168231
3,SKCE (biased),0.10983778206072427
3,p-value,0.0
4,NLL,4.158083880341518
4,MSE,239.43708620754046
4,pinball,4.8291262068929
4,SKCE (unbiased),0.10098508752680595
4,SKCE (biased),0.10961922381276579
4,p-value,0.0
5,NLL,4.152927998374593
5,MSE,236.98075382302508
5,pinball,4.803913711407431
5,SKCE (unbiased),0.10062619675294289
5,SKCE (biased),0.1092618729803657
5,p-value,0.0
6,NLL,4.1478430060369105
6,MSE,234.582877040735
6,pinball,4.779174002654599
6,SKCE (unbiased),0.10028837801098678
6,SKCE (biased),0.10892540663580881
6,p-value,0.0
7,NLL,4.142772129449902
7,MSE,232.21581875203813
7,pinball,4.75462474801219
7,SKCE (unbiased),0.09994269615192826
7,SKCE (biased),0.1085811571754157
7,p-value,0.0
8,NLL,4.137643162250789
8,MSE,229.84593992868227
8,pinball,4.7299012501616495
8,SKCE (unbiased),0.09952397856359226
8,SKCE (biased),0.10816456115828853
8,p-value,0.0
9,NLL,4.13239863239133
9,MSE,227.44767191498252
9,pinball,4.704762846517606
9,SKCE (unbiased),0.09905126896719481
9,SKCE (biased),0.10769445823298009
9,p-value,0.0
10,NLL,4.126957925330851
10,MSE,224.9861363879138
10,pinball,4.678815543462331
10,SKCE (unbiased),0.09850106477024359
10,SKCE (biased),0.10714753975489213
10,p-value,0.0
11,NLL,4.121334898676122
11,MSE,222.47010453597636
11,pinball,4.652187411398968
11,SKCE (unbiased),0.09782525740670114
11,SKCE (biased),0.10647618945028868
11,p-value,0.0
12,NLL,4.115480069398065
12,MSE,219.8802483313643
12,pinball,4.624642004248458
12,SKCE (unbiased),0.09696724874140036
12,SKCE (biased),0.10562436354443089
12,p-value,0.0
13,NLL,4.109417746930509
13,MSE,217.23037523969725
13,pinball,4.596272547625458
